# h138.osc
# tested 5 may 95
# fixed atten #2, Pac MM Prod det #50, bolted directly to
#	LO plate w/g atten; atten=5000; modulator = +300
# 23sep97 - changed all loop gains by +0.3
# 08sep05 - Commented out measured power, vop, mmerrv
#
# $Id: h138.tab,v 1.3 2005/09/22 00:59:49 colby Exp $
#
#| lo    | osctarg | oscbcktarg | vop | lgain |
#| r     | i       | i          | r   | r     |
  84.400  24598      27759       9.50   5.10 #   0.18411    9.50   0.22
  84.200  24512      27944       9.50   5.10 #   0.16442    9.50   0.20
  84.000  24414      28129       9.50   5.10 #   0.15177    9.51   0.20
  83.800  24300      28077       9.50   5.10 #   0.14353    9.50   0.25
  83.600  24194      28024       9.50   5.00 #   0.13550    9.51   0.17
  83.400  24094      27971       9.50   5.00 #   0.12911    9.51   0.21
  83.200  24003      27918       9.50   5.00 #   0.11005    9.51   0.18
  83.000  23912      27866       9.50   5.00 #   0.08513    9.51   0.18
  82.800  23809      27866       9.50   5.00 #   0.06202    9.50   0.22
  82.600  23710      27866       9.50   5.00 #   0.04406    9.51   0.15
  82.400  23607      27866       9.50   5.00 #   0.03000    9.51   0.20
  82.201  23504      27866       9.50   5.00 #   0.01578    9.50   0.21
  82.001  23403      28000       9.50   5.00 #   0.00447    9.49   0.29
  81.801  23287      28076       9.50   5.00 #   0.00014    9.50   0.17
  81.601  23195      28287       9.50   5.00 #   0.00482    9.49   0.29
  81.401  23077      28288       9.50   5.00 #   0.02093    9.50   0.25
  81.201  22959      28077       9.50   5.00 #   0.03997    9.51   0.15
  81.001  22846      27866       9.50   5.00 #   0.05828    9.50   0.19
  80.801  22722      27708       9.50   5.00 #   0.07334    9.50   0.26
  80.601  22615      27550       9.50   5.00 #   0.08009    9.50   0.19
  80.401  22505      27287       9.50   4.90 #   0.07390    9.50   0.27
  80.201  22403      26918       9.50   4.90 #   0.06228    9.50   0.26
  80.001  22298      26548       9.50   4.90 #   0.05909    9.49   0.28
  79.801  22167      26495       9.50   4.90 #   0.07726    9.51   0.13
  79.601  22041      26443       9.50   4.90 #   0.09271    9.50   0.29
  79.401  21919      26312       9.50   4.80 #   0.08785    9.50   0.31
  79.201  21804      26101       9.50   4.80 #   0.07954    9.50   0.28
  79.001  21686      25890       9.50   4.80 #   0.07823    9.50   0.29
  78.801  21547      25758       9.50   4.80 #   0.08856    9.50   0.26
  78.601  21422      25626       9.50   4.80 #   0.10059    9.51   0.18
  78.401  21291      25494       9.50   4.70 #   0.09954    9.51   0.14
  78.201  21158      25362       9.50   4.70 #   0.09387    9.50   0.28
  78.001  21015      25231       9.50   4.60 #   0.09393    9.50   0.24
  77.801  20891      25073       9.50   4.60 #   0.09965    9.51   0.16
  77.601  20756      24915       9.50   4.60 #   0.10872    9.49   0.34
  77.401  20641      24731       9.50   4.60 #   0.10717    9.50   0.25
  77.201  20544      24520       9.50   4.60 #   0.09770    9.50   0.23
  77.001  20441      24309       9.50   4.60 #   0.08409    9.49   0.29
