# IERS table with UT1-UTC and polar motion
# $Id: IERS.tab,v 1.191 2015/03/06 16:16:53 control Exp $
# This table was automatically generated, roughly as follows:
#   wget ftp://maia.usno.navy.mil/ser7/ser7.dat
#   $CARMA/scripts/mk-iers.awk ser7.dat > IERS.tab
# or:
#   curl ftp://maia.usno.navy.mil/ser7/ser7.dat | $CARMA/scripts/mk-iers.awk > IERS.tab
# and placed in $CARMA/conf/catalogs
# This should be updated regularly, in A array weekly
#
# Note that MJD = JD - 2400000.5
#
# UTC (MJD)  UT1-UTC (s)  xpolCalendar (UTC)
#| mjd      |  dut1   | xpolar | ypolar |  calendar    |
#|  r       |   r     |   r    |   r    |     s        |
#| mjd      |   sec   | arcsec | arcsec |  yyyy-Mmm-dd |
#end
57280.00000  0.31748   0.2258   0.3214   2015-Sep-15
57281.00000  0.31690   0.2254   0.3196   2015-Sep-16
57282.00000  0.31629   0.2250   0.3179   2015-Sep-17
57283.00000  0.31568   0.2245   0.3161   2015-Sep-18
57284.00000  0.31509   0.2240   0.3143   2015-Sep-19
57285.00000  0.31449   0.2235   0.3126   2015-Sep-20
57286.00000  0.31387   0.2229   0.3108   2015-Sep-21
57287.00000  0.31319   0.2223   0.3091   2015-Sep-22
57288.00000  0.31241   0.2217   0.3073   2015-Sep-23
57289.00000  0.31147   0.2210   0.3056   2015-Sep-24
57290.00000  0.31034   0.2203   0.3039   2015-Sep-25
57291.00000  0.30899   0.2196   0.3022   2015-Sep-26
57292.00000  0.30746   0.2189   0.3005   2015-Sep-27
57293.00000  0.30582   0.2181   0.2988   2015-Sep-28
57294.00000  0.30417   0.2173   0.2971   2015-Sep-29
57295.00000  0.30261   0.2164   0.2954   2015-Sep-30
57296.00000  0.30119   0.2155   0.2938   2015-Oct-01
57297.00000  0.29992   0.2146   0.2921   2015-Oct-02
57298.00000  0.29875   0.2137   0.2905   2015-Oct-03
57299.00000  0.29765   0.2127   0.2889   2015-Oct-04
57300.00000  0.29657   0.2117   0.2873   2015-Oct-05
57301.00000  0.29546   0.2106   0.2857   2015-Oct-06
57302.00000  0.29431   0.2096   0.2841   2015-Oct-07
57303.00000  0.29312   0.2085   0.2825   2015-Oct-08
57304.00000  0.29190   0.2073   0.2810   2015-Oct-09
57305.00000  0.29065   0.2062   0.2794   2015-Oct-10
57306.00000  0.28939   0.2050   0.2779   2015-Oct-11
57307.00000  0.28814   0.2038   0.2764   2015-Oct-12
57308.00000  0.28692   0.2026   0.2749   2015-Oct-13
57309.00000  0.28571   0.2013   0.2735   2015-Oct-14
57310.00000  0.28456   0.2000   0.2720   2015-Oct-15
57311.00000  0.28346   0.1987   0.2706   2015-Oct-16
57312.00000  0.28245   0.1973   0.2692   2015-Oct-17
57313.00000  0.28143   0.1959   0.2678   2015-Oct-18
57314.00000  0.28037   0.1945   0.2664   2015-Oct-19
57315.00000  0.27925   0.1931   0.2651   2015-Oct-20
57316.00000  0.27797   0.1917   0.2637   2015-Oct-21
57317.00000  0.27652   0.1902   0.2624   2015-Oct-22
57318.00000  0.27482   0.1887   0.2611   2015-Oct-23
57319.00000  0.27287   0.1872   0.2599   2015-Oct-24
57320.00000  0.27076   0.1856   0.2586   2015-Oct-25
57321.00000  0.26857   0.1840   0.2574   2015-Oct-26
57322.00000  0.26646   0.1824   0.2562   2015-Oct-27
57323.00000  0.26447   0.1808   0.2550   2015-Oct-28
57324.00000  0.26263   0.1792   0.2539   2015-Oct-29
57325.00000  0.26096   0.1775   0.2527   2015-Oct-30
57326.00000  0.25939   0.1758   0.2516   2015-Oct-31
57327.00000  0.25794   0.1741   0.2505   2015-Nov-01
57328.00000  0.25649   0.1724   0.2495   2015-Nov-02
57329.00000  0.25503   0.1706   0.2484   2015-Nov-03
57330.00000  0.25353   0.1689   0.2474   2015-Nov-04
57331.00000  0.25195   0.1671   0.2464   2015-Nov-05
57332.00000  0.25033   0.1653   0.2455   2015-Nov-06
57333.00000  0.24869   0.1635   0.2446   2015-Nov-07
57334.00000  0.24701   0.1616   0.2436   2015-Nov-08
57335.00000  0.24535   0.1598   0.2428   2015-Nov-09
57336.00000  0.24367   0.1579   0.2419   2015-Nov-10
57337.00000  0.24207   0.1560   0.2411   2015-Nov-11
57338.00000  0.24057   0.1541   0.2403   2015-Nov-12
57339.00000  0.23916   0.1522   0.2395   2015-Nov-13
57340.00000  0.23781   0.1502   0.2388   2015-Nov-14
57341.00000  0.23658   0.1483   0.2381   2015-Nov-15
57342.00000  0.23535   0.1463   0.2374   2015-Nov-16
